user_id,signup_date,platform_type,geo,subscription_type,language_L1,language_L2,motivation_type,daily_active_date,session_duration,engagement_type
user_1,2025-01-08,iOS,Brazil,3M,Portuguese,Spanish,Hobby,2025-01-10,25,New
user_1,2025-01-08,iOS,Brazil,3M,Portuguese,Spanish,Hobby,2025-01-14,32,New
user_1,2025-01-08,iOS,Brazil,3M,Portuguese,Spanish,Hobby,2025-02-15,43,Retained
user_1,2025-01-08,iOS,Brazil,3M,Portuguese,Spanish,Hobby,2025-02-04,37,Retained
user_1,2025-01-08,iOS,Brazil,3M,Portuguese,Spanish,Hobby,2025-01-30,12,Retained
user_1,2025-01-08,iOS,Brazil,3M,Portuguese,Spanish,Hobby,2025-02-23,29,Retained
user_1,2025-01-08,iOS,Brazil,3M,Portuguese,Spanish,Hobby,2025-02-27,41,Retained
user_2,2025-05-23,Android,Brazil,3M,Portuguese,Spanish,Education,2025-06-08,56,Retained
user_2,2025-05-23,Android,Brazil,3M,Portuguese,Spanish,Education,2025-05-25,39,Retained
user_2,2025-05-23,Android,Brazil,3M,Portuguese,Spanish,Education,2025-07-07,48,New
user_2,2025-05-23,Android,Brazil,3M,Portuguese,Spanish,Education,2025-06-19,51,Retained
user_2,2025-05-23,Android,Brazil,3M,Portuguese,Spanish,Education,2025-05-23,52,Retained
user_2,2025-05-23,Android,Brazil,3M,Portuguese,Spanish,Education,2025-06-25,52,Retained
user_3,2025-06-14,iOS,US,3M,Spanish,French,Education,2025-07-07,26,New
user_3,2025-06-14,iOS,US,3M,Spanish,French,Education,2025-07-11,44,Retained
user_3,2025-06-14,iOS,US,3M,Spanish,French,Education,2025-06-18,25,Retained
user_3,2025-06-14,iOS,US,3M,Spanish,French,Education,2025-08-13,47,Retained
user_3,2025-06-14,iOS,US,3M,Spanish,French,Education,2025-07-26,59,Retained
user_3,2025-06-14,iOS,US,3M,Spanish,French,Education,2025-08-11,12,Retained
user_4,2025-04-11,iOS,India,Free Trial,German,Japanese,Education,2025-05-13,23,Retained
user_4,2025-04-11,iOS,India,Free Trial,German,Japanese,Education,2025-04-30,40,New
user_4,2025-04-11,iOS,India,Free Trial,German,Japanese,Education,2025-05-23,13,Retained
user_4,2025-04-11,iOS,India,Free Trial,German,Japanese,Education,2025-05-07,17,New
user_4,2025-04-11,iOS,India,Free Trial,German,Japanese,Education,2025-05-01,31,Retained
user_4,2025-04-11,iOS,India,Free Trial,German,Japanese,Education,2025-05-06,47,Retained
user_4,2025-04-11,iOS,India,Free Trial,German,Japanese,Education,2025-05-25,29,New
user_5,2025-04-19,iOS,Germany,3M,Spanish,Italian,Travel,2025-05-28,58,Retained
user_5,2025-04-19,iOS,Germany,3M,Spanish,Italian,Travel,2025-05-25,5,New
user_5,2025-04-19,iOS,Germany,3M,Spanish,Italian,Travel,2025-05-08,24,Retained
user_5,2025-04-19,iOS,Germany,3M,Spanish,Italian,Travel,2025-05-14,23,Retained
user_5,2025-04-19,iOS,Germany,3M,Spanish,Italian,Travel,2025-05-24,18,Retained
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-06-13,18,New
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-05-31,37,Retained
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-06-01,35,Retained
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-06-04,55,Retained
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-05-14,55,Retained
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-05-23,52,New
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-05-22,15,Retained
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-05-22,47,New
user_6,2025-04-24,Android,US,3M,German,Spanish,Education,2025-06-06,10,Retained
user_7,2025-05-16,iOS,Germany,3M,Spanish,French,Travel,2025-06-17,53,Retained
user_7,2025-05-16,iOS,Germany,3M,Spanish,French,Travel,2025-06-27,20,New
user_7,2025-05-16,iOS,Germany,3M,Spanish,French,Travel,2025-06-25,48,New
user_7,2025-05-16,iOS,Germany,3M,Spanish,French,Travel,2025-06-24,24,New
user_7,2025-05-16,iOS,Germany,3M,Spanish,French,Travel,2025-06-06,19,Retained
user_7,2025-05-16,iOS,Germany,3M,Spanish,French,Travel,2025-05-21,56,Retained
user_7,2025-05-16,iOS,Germany,3M,Spanish,French,Travel,2025-07-07,17,Retained
user_8,2025-05-25,iOS,Germany,3M,Portuguese,German,Travel,2025-05-26,59,New
